index  r co          x co          y co          z co          spee          v co          w co          u co          Ener          
121    1.8159        -1.4277       -0.8631       0.7170        0.6463        -0.6205       -0.1766       -0.0384       -0.3681       
122    4.6922        -4.0402       -2.3650       -0.3164       0.2806        -0.1112       0.2563        0.0265        -0.2969       
123    2.0208        -0.9606       0.4721        -1.7141       0.9510        0.8619        -0.3905       0.0948        0.1690        
124    2.3419        0.1742        -0.3757       2.3050        0.5457        0.3174        -0.3175       0.3103        -0.3676       
125    0.9903        0.7371        -0.3726       -0.5464       0.7992        0.6473        0.4028        0.2397        -0.3910       
126    0.4999        -0.0449       -0.3123       0.3878        0.9423        -0.3259       -0.3358       0.8179        -0.2825       
127    3.6180        -0.4702       -3.2092       -1.6031       0.2975        0.1153        0.2058        0.1813        -0.3840       
128    3.5791        -1.0973       2.2329        -2.5730       0.1115        0.0755        0.0770        -0.0287       -0.4645       
129    0.5002        0.4319        0.0967        0.2330        0.9908        -0.4668       -0.4225       -0.7650       -0.1889       
130    1.2628        -0.4903       1.1520        0.1648        0.7874        -0.6720       0.0501        -0.4074       -0.3238       
131    4.7055        4.3998        -0.3895       1.6222        0.2134        0.0845        0.1589        0.1147        -0.3292       
132    2.2884        0.9473        0.5409        2.0117        0.8946        -0.8424       -0.1150       0.2782        0.1238        
133    1.6694        -1.5506       0.5220        -0.3315       0.8893        -0.3230       0.2137        0.8006        -0.0337       
134    1.4628        1.4165        0.3645        -0.0223       0.1630        0.0999        0.0531        0.1174        -0.8567       
135    1.4177        -0.0366       0.8731        1.1164        0.8949        -0.3085       0.2589        -0.7991       -0.0959       
136    3.7468        -0.7707       -3.5744       0.8176        0.5242        0.3686        0.0557        -0.3685       -0.1838       
137    2.1763        1.4515        0.6550        -1.4834       0.8326        0.0362        0.8219        0.1280        -0.0070       
138    3.0919        1.2780        -0.2504       2.8042        0.3076        -0.0862       0.2849        -0.0774       -0.4439       
139    1.3012        -0.0801       -1.2473       0.3620        0.7346        0.6759        -0.2157       0.1905        -0.3924       
140    3.1572        0.0278        -0.2952       3.1432        0.5526        0.2793        0.0209        0.4764        -0.2241       
141    0.8921        -0.4462       0.1165        -0.7636       0.7672        -0.0325       -0.7511       -0.1531       -0.4718       
142    1.7548        -1.3853       -0.7589       -0.7643       0.5172        0.1513        -0.2575       -0.4222       -0.5342       
143    2.5883        0.3067        -0.8330       2.4313        0.4310        0.0422        0.3832        0.1926        -0.4329       
144    3.4821        2.7510        0.6425        -2.0357       0.5331        0.0685        0.0751        0.5234        -0.2039       
145    1.6760        1.5770        -0.5266       -0.2117       0.9205        -0.8461       -0.2765       -0.2343       0.0244        
146    6.9053        -3.5089       1.7942        5.6702        0.3712        0.3674        0.0453        -0.0275       -0.1241       
147    7.5149        -1.1079       4.0792        6.2134        0.3533        -0.0965       -0.0685       -0.3329       -0.1167       
148    1.0117        0.5219        -0.0843       -0.8625       0.7690        -0.6075       0.4412        0.1665        -0.4315       
149    4.6452        -4.2357       1.5918        -1.0502       0.4953        -0.0201       -0.0319       0.4938        -0.1338       
150    0.6347        -0.1975       0.0893        0.5965        0.7825        -0.0303       -0.3480       0.7002        -0.5240       
151    1.8673        -1.8645       -0.0173       -0.1009       0.0625        0.0397        0.0026        -0.0482       -0.7688       
152    2.1776        -1.6800       -1.2765       -0.5387       0.4154        -0.3292       0.2356        0.0931        -0.5274       
153    0.6133        -0.2401       0.4634        -0.3222       0.5383        0.3309        0.3844        -0.1801       -0.8523       
154    66.6700       54.2645       18.2690       -34.1541      0.1363        -0.1234       0.0439        -0.0378       -0.0092       
155    2.1053        0.0376        -2.0403       -0.5178       0.6714        0.3211        0.4791        0.3437        -0.2652       
156    3.0760        -2.6304       0.4902        -1.5173       0.2751        -0.1324       -0.1242       -0.2067       -0.4651       
157    1.3887        1.3060        -0.4535       -0.1322       0.6010        -0.4420       -0.3430       -0.2195       -0.5441       
158    5.7681        5.1500        0.5097        2.5475        0.5033        -0.4880       0.1204        -0.0272       -0.0572       
159    1.9761        -1.9345       0.4035        -0.0001       0.8292        -0.2395       0.4391        0.6614        -0.0584       
160    7.3637        -0.2896       5.5771        -4.7996       0.3428        0.1373        0.3071        0.0657        -0.1288       
161    0.5890        -0.3003       -0.3026       -0.4064       0.5708        0.5129        0.2258        -0.1084       -0.8226       
162    5.8717        4.2639        -3.4241       2.1382        0.1988        -0.1823       -0.0786       0.0112        -0.2658       
163    2.3979        1.7754        0.1313        1.6065        0.9021        0.2511        -0.2547       0.8282        0.1595        
164    2.6336        2.1097        1.5098        0.4535        0.8431        0.4096        0.0274        0.7363        0.1001        
165    0.3800        0.3024        0.0724        0.2184        0.4164        0.0666        -0.1958       0.3614        -1.0226       
166    6.8066        3.9479        1.0337        -5.4475       0.3727        0.2924        0.1732        -0.1529       -0.1266       
167    2.0764        2.0171        -0.4129       0.2690        0.6966        -0.6094       0.1647        -0.2945       -0.2373       
168    6.5582        -3.4194       -3.3018       -4.5183       0.2871        0.1844        0.1743        0.1342        -0.1927       
169    3.8183        0.4314        3.5356        -1.3759       0.2546        0.0042        0.1453        0.2091        -0.3863       
170    0.8486        0.4924        -0.3420       0.6006        0.9489        0.2142        -0.9189       0.1006        -0.1736       
171    4.6674        0.1201        -1.9905       -4.2200       0.3805        0.1075        0.2448        0.2708        -0.2327       
172    1.2641        -0.0360       0.8708        -0.9156       0.5735        -0.2240       -0.5009       -0.1667       -0.6146       
173    1.9209        1.2491        -0.7255       -1.2661       0.7147        -0.3694       -0.5996       -0.1217       -0.2485       
174    1.0553        0.5116        -0.6225       -0.6815       0.9240        0.4072        -0.5254       -0.6418       -0.1553       
175    0.8004        0.2983        -0.4219       0.6113        0.2340        -0.1948       -0.0796       0.1024        -1.0338       
176    0.7909        -0.2996       0.6731        0.2876        0.6729        -0.6684       0.0712        -0.0310       -0.6386       
177    4.3698        2.0259        -1.6185       3.5173        0.5643        -0.0612       -0.5609       -0.0006       -0.0822       
178    1.5055        0.3846        0.1117        -1.4513       0.3479        0.1220        0.2063        -0.2522       -0.7498       
179    5.7032        -1.9313       -0.3653       5.3538        0.1765        0.0468        0.0138        -0.1696       -0.2827       
180    1.2003        -0.9121       -0.7651       0.1533        0.8160        0.1732        -0.1892       0.7747        -0.2974       
181    0.5351        0.3590        0.3948        0.0406        0.3952        -0.2086       0.3244        -0.0863       -1.0059       
182    0.5886        0.0781        0.3748        0.4470        0.4114        -0.3810       -0.1465       -0.0514       -0.9793       
183    2.9716        -1.0102       1.5978        2.2928        0.5814        -0.2474       -0.4972       0.1719        -0.2180       
184    1.4401        0.4087        -0.3624       -1.3325       1.0597        -0.5372       -0.6680       0.6229        0.2329        
185    3.1449        -0.3826       -2.7221       -1.5278       0.4159        -0.4060       0.0827        -0.0365       -0.3582       
186    0.7000        -0.6209       -0.1183       0.3009        0.2554        -0.1401       0.0426        0.2093        -1.0528       
187    4.3223        -1.9803       -2.3055       3.0733        0.4459        0.4159        -0.1135       -0.1139       -0.2057       
188    1.8271        1.0879        1.2832        0.7128        0.3571        -0.1440       0.1749        -0.2760       -0.6554       
189    3.4664        -1.8335       -0.9956       2.7682        0.4557        -0.2337       0.3344        0.2030        -0.2823       
190    1.6319        -1.3198       -0.9535       -0.1098       0.6134        -0.3263       0.4545        -0.2515       -0.4587       
191    6.2319        -5.8815       -1.9780       -0.5764       0.1434        -0.1306       0.0146        0.0574        -0.2682       
192    2.1455        0.8875        0.8422        -1.7624       0.8188        -0.2650       0.2935        0.7170        -0.0366       
193    3.4629        1.9412        0.5555        2.8134        0.3484        0.0310        0.1182        -0.3263       -0.3690       
194    1.6888        1.4902        0.1745        -0.7752       0.8875        0.5905        -0.0327       -0.6617       -0.0317       
195    2.3103        0.9598        -1.6690       -1.2770       0.4705        -0.0687       -0.2294       -0.4050       -0.4505       
196    0.3857        0.1055        -0.1500       -0.3393       1.4552        0.0206        1.2679        -0.7138       0.9227        
197    1.4449        1.2300        -0.7447       -0.1424       0.5400        0.2950        0.4134        0.1837        -0.5970       
198    3.4498        -1.4720       -3.1173       -0.1283       0.1540        -0.0112       0.0135        0.1530        -0.4683       
199    2.0092        -0.1855       -1.6459       -1.1373       0.5454        -0.0037       0.4419        0.3197        -0.4407       
200    1.1868        -0.7931       -0.3489       0.8110        0.7556        0.0779        0.7270        0.1906        -0.3967       
201    3.8891        1.4153        2.5886        2.5340        0.2529        0.0745        -0.0935       0.2228        -0.3800       
202    5.4060        2.8304        -3.9031       -2.4453       0.4603        -0.1355       -0.0989       0.4287        -0.1180       
203    1.7734        -1.3851       1.0044        0.4666        0.5028        -0.1086       -0.1224       0.4754        -0.5440       
